hw_synset_7451	戏剧性、戏剧化	形容词，引人注目的表现或变化。
hw_synset_26864	奇峰	名词，奇特的山峰。
hw_synset_4483	病案、病历、脉案	名词，与医疗记录和病症相关的文书资料
hw_synset_3431	已决犯、囚犯、囚徒、犯人、阶下囚	名词，被法律判决并关押的犯罪者或嫌疑人
hw_synset_1056	胨、蛋白胨	名词，有机化合物，由蛋白质经酸、碱或蛋白酶分解后而成。医学上用做细菌的培养基，也用来治疗消化道疾病。简称胨。
hw_synset_40686	聚宝盆	名词，装满珍贵物品的地方。
hw_synset_29534	彩云	名词，色彩斑斓的云朵。
hw_synset_14590	削价处理、一次性削价处理	动词，以低价出售商品。
hw_synset_7539	各自、以次、依次、相继、各个	形容词，按顺序排列的每一个。
hw_synset_10470	产院	名词，专门为女性分娩提供医疗服务的场所。
hw_synset_1863	豺、豺狗	名词，外形似狼、性凶猛的群居哺乳动物
hw_synset_9131	鲇	名词，一种淡水鱼。
hw_synset_26533	大处	名词，主要部分或重要实体。
hw_synset_21561	农时	名词，与农业相关的时节或时期。
hw_synset_13792	耕牛	名词，用于耕作的牛。
hw_synset_32693	无名氏	名词，不知姓名的人。
hw_synset_40452	翠微	名词，绿色的高地。
hw_synset_2892	灵光、光环	名词，神像头部周围的光辉或环形光辉。
hw_synset_3787	梃、梃子	名词，用于支撑或固定的边框或棍状物体
hw_synset_2315	搪瓷、珐琅、瓷漆、洋瓷	名词，用于装饰和保护物体表面的釉状材料
hw_synset_34183	核辐射	名词，放射性物质对生物或环境的影响。
hw_synset_21951	刁民	名词，卑劣的普通人。
hw_synset_14441	高教	名词，高等教育事务。
hw_synset_26637	大话	名词，夸大的言辞或虚构的故事。
hw_synset_3368	历书、皇历、通书、黄历	名词，按照一定历法排列年、月、日、节气、纪念日等供查考的书。
hw_synset_1195	柳、杨柳	名词，杨树和柳树的统称，具有柔韧的特性。
hw_synset_17760	下半夜	名词，夜深时段。
hw_synset_47526	黄道带	名词，天体运行的轨道带。
hw_synset_38866	秋汛	名词，秋季水位上涨的现象。
hw_synset_37803	疫区	名词，发生疾病的区域。
hw_synset_39814	纸老虎	名词，表面强大但实际上脆弱的人或事物。
hw_synset_39781	纯毛	名词，由纯毛制成的材料或衣物。
hw_synset_35722	浮云	名词，在空中漂浮的云朵。
hw_synset_11011	儒家、儒	名词，以仁义礼智为核心的思想体系。
hw_synset_37822	病假	名词，因病缺勤的假期。
hw_synset_45851	阴坡	名词，向北倾斜的土地。
hw_synset_44992	酷暑	名词，非常炎热的夏季天气。
hw_synset_12995	连夜、当夜	名词，在同一夜晚发生的事情。
hw_synset_46990	首户	名词，最富有的家庭。
hw_synset_37186	现任	动词，当前担任某职务的人。
hw_synset_40059	继任	动词，接替某职位或角色的人。
hw_synset_7845	碧澄澄、碧油油、碧莹莹、大绿、鲜绿色	形容词，鲜艳的绿色。
hw_synset_23083	单程	名词，只往一个方向的旅行。
hw_synset_1485	字音、音节	名词，与语音单位和读音相关的概念
hw_synset_3997	风景画、山水画	名词，以自然风景为题材的艺术作品
hw_synset_3990	履历、简历	名词，记录个人经历和资格的文件
hw_synset_3297	山川、江山	名词，自然地理特征，指山和水体的组合
hw_synset_18290	专线	名词，特定用途的交通路线。
hw_synset_27570	官迷	名词，对官员过度崇拜或迷恋的人。
hw_synset_18297	专门技能	名词，特定领域的专业知识和能力。
hw_synset_12291	基底、基部	名词，物体的底部或基础部分。
hw_synset_11977	生死	名词，生命的开始与结束。
hw_synset_47373	鱼虫	名词，水中生物，通常为鱼类和昆虫。
hw_synset_1475	士官、中士、军士、上士	名词，某些国家的军衔，军士的最高一级。
hw_synset_1597	空中、空际、天上、半空	名词，与天空相关的高远空间或区域
hw_synset_1309	蛞蝼、蝼蛄	名词，一种生活在泥土中的昆虫，适于掘土。
hw_synset_42453	西洋画	名词，源于欧洲的绘画艺术。
hw_synset_34239	案由	名词，案件的简要说明。
hw_synset_3117	凶手、凶犯	名词，实施犯罪行为的人或罪犯
hw_synset_11003	催化剂	名词，加速化学反应的物质。
hw_synset_22369	前驱症状	名词，疾病早期出现的现象。
hw_synset_19135	亏损	名词，财务上处于负面状态。
hw_synset_3843	套语、套话、套子	名词，指公式化、陈旧的言语或表达方式
hw_synset_1085	人潮、人流	名词，形容大量人群像水流般涌动的状态
hw_synset_30385	战略	名词，军事规划的长远方案。
hw_synset_3259	轮机、引擎、发动机、摩托、马达	名词，将能量转化为机械能的设备，用于驱动机械。
hw_synset_1184	鳔胶、鱼胶	名词，用鱼鳔等熬制的强黏性胶，用于粘合和制片。
hw_synset_8699	一楼、底层	名词，建筑物的最低层。
hw_synset_4533	隙地、空地	名词，未被使用或开发的空旷区域
hw_synset_36074	渐变	动词，逐步变化的过程。
hw_synset_16617	突变、骤变	动词，突然发生的变化。
hw_synset_46620	顶点	名词，最高点或最重要的部分。
hw_synset_10564	瓜子、瓜籽	名词，水果中的种子。
hw_synset_28566	己方	名词，自身的部分或实体。
hw_synset_4246	春宫、春画	名词，淫秽图画，通常涉及性内容的艺术作品
hw_synset_27375	学区	名词，提供教育服务的区域。
hw_synset_2106	主人公、主人翁	名词，文艺作品中的主要角色或中心人物
hw_synset_20758	先天不足	动词，天生的缺陷或不足。
hw_synset_24687	后天失调	动词，后天产生的功能失调。
hw_synset_1179	不织布、无纺织布	名词，以纺织纤维为原料的片状物，不经过传统纺织过程。
hw_synset_8122	时...时、时而...时而、一会儿	副词，偶尔出现的状态或时间。
hw_synset_7655	典型性、典型	形容词，具有代表性或常见特征的事物。
hw_synset_11134	色盲	名词，对颜色辨识能力受限的人。
hw_synset_25086	商业街	名词，进行买卖的街道。
hw_synset_2579	低价、廉价	名词，价格低于市场水平的状态
hw_synset_37163	环岛	名词，被水域环绕的陆地。
hw_synset_3446	密报、密告	名词，秘密传递信息的方式或形式
hw_synset_35600	活话	名词，表达意见或情感的方式。
hw_synset_1663	花子、叫花子、乞丐	名词，靠向他人乞求施舍以维持生计的人。
hw_synset_8869	昆	名词，中国的一个城市。
hw_synset_33986	枪击	名词，用枪发射子弹的行为。
hw_synset_39682	繁花	名词，盛开的花朵。
hw_synset_45309	钉子户	名词，拒绝搬迁的家庭。
hw_synset_13504	槁木	名词，枯萎的树木。
hw_synset_9194	三角铁、角铁	名词，金属制成的三角形材料。
hw_synset_12242	官府	名词，政府或行政机构。
hw_synset_26839	头胸部	名词，昆虫的身体前部。
hw_synset_22124	列车员	名词，负责管理列车的工作人员。
hw_synset_2668	余毒、流毒	名词，具有危害性或负面影响的毒素或影响
hw_synset_28482	工作组	名词，负责处理事务的组织。
hw_synset_24643	名单	名词，包含姓名的记录或文书。
hw_synset_44888	邻邦	名词，相邻的国家或地区。
hw_synset_9646	夜大学	名词，夜间进行高等教育的学习场所。
hw_synset_37036	独挡一面	动词，独自承担责任或任务。
hw_synset_10630	蛙泳	名词，一种游泳方式，双臂向外划水。
hw_synset_38930	科盲	名词，缺乏科学知识的人。
hw_synset_13394	模特儿	名词，展示衣物的职业人。
hw_synset_14847	各异、有别	动词，彼此不相同。
hw_synset_3562	要地、重地	名词，重要且需保护的地点或区域
hw_synset_3095	小吃、加餐、小食、快餐	名词，指在正餐之外的各种食品和快速提供的饮食。
hw_synset_3813	窗、窗扇、窗口、窗子、窗户	名词，墙壁上用于通气和透光的装置
hw_synset_14452	鸩毒	名词，有毒的酒。
hw_synset_36280	滴鼻净	名词，用于缓解鼻部不适的药物。
hw_synset_9141	鳇	名词，一种淡水鱼。
hw_synset_8882	乌桕	名词，一种树木，常见于湿润地区。
hw_synset_2786	拳击、拳	名词，一种以击打为主的体育竞技活动
hw_synset_1488	佳宾、座上客、贵宾、贵客、上宾	名词，受尊敬的客人，通常指重要或贵重的来宾。
hw_synset_1803	生意、贸易、商贸、交易、商业	名词，与商品流通和经济活动相关的经营行为
hw_synset_32383	斜眼	名词，歪斜的眼神。
hw_synset_38178	直销	名词，直接向消费者销售商品的方式。
hw_synset_846	癫痫、羊痫风、羊角风、痫	名词，由脑部疾患引起的突然昏倒和全身痉挛的病症
hw_synset_7990	集中式、集中	形容词，集体聚集的状态或方式。
hw_synset_41553	苏丹	名词，非洲的一个国家。
hw_synset_4008	暗礁、礁石	名词，河流、海洋中距水面很近的岩石。
hw_synset_4554	纤、纤绳	名词，用于拉船的绳索或绳子
hw_synset_35826	海防	名词，保护国家水域的军事措施。
hw_synset_2011	春节、年节	名词，中国传统农历新年及其庆祝活动
hw_synset_8972	万象	名词，各种事物的总和。
hw_synset_32322	文官	名词，从事文职工作的官员。
hw_synset_8975	长征	名词，中国共产党进行的伟大军事行动。
hw_synset_13266	机械手	名词，用于控制的仿人手。
hw_synset_20987	全开	名词，完全开放的状态。
hw_synset_37548	电刑	名词，用电方式致死的刑罚。
hw_synset_47128	驾驶舱	名词，操控交通工具的区域。
hw_synset_41323	航班	名词，飞机的定期旅行。
hw_synset_1736	冤家、仇敌、敌人、对头、仇	名词，敌对关系或情感的表现与体现
hw_synset_1783	毛毡、毡子	名词，用羊毛等制成的厚重织物，通常用于保暖或铺设。
hw_synset_42782	议员	名词，从事政治工作的官方代表。
hw_synset_9428	波	名词，欧洲的一个地方或国家。
hw_synset_10350	假条	名词，私下停做的文书。
hw_synset_10402	五一	名词，庆祝劳动者的节日。
hw_synset_2857	弦、弹簧、绷簧	名词，利用弹性材料制成的能恢复形状的零件
hw_synset_812	万金油、清凉油	名词，用于缓解头痛、皮肤瘙痒等症状的外用药物
hw_synset_26851	夹生饭	名词，未煮熟的饭。
hw_synset_28904	平面	名词，二维的表面或图像。
hw_synset_12655	安检	名词，对旅客和行李进行安全检查的程序。
hw_synset_28905	平顶	名词，屋顶平坦的部分。
hw_synset_9901	阳电子、正电子	名词，带正电荷的基本粒子。
hw_synset_2840	长官、首长	名词，高级领导或官员，负责管理和指挥。
hw_synset_924	狗尾草、莠	名词，一种一年生草本植物，叶细长，花序似狗尾。
hw_synset_4012	省、省份	名词，中国的行政区划单位，通常指省级行政区域
hw_synset_43664	起色	名词，改善后的状态或结果。
hw_synset_36236	满堂	名词，全面关注的场合或状态。
hw_synset_30074	情急	名词，紧急情况下的状态。
hw_synset_4490	盆塘、盆汤	名词，澡堂中设有澡盆的区域
hw_synset_2901	兔唇、豁嘴、唇裂	名词，上唇先天性裂开，影响饮食和语言表达的畸形。
hw_synset_8000	阳、正	形容词，正面的光或能量。
hw_synset_8050	负、阴	形容词，电的反面或负值。
hw_synset_45338	钢锭	名词，金属材料制成的立方体。
hw_synset_9065	独立国	名词，拥有自主权的国家。
hw_synset_22356	前起落架	名词，飞机的前部支撑结构。
hw_synset_36558	烟鬼	名词，嗜好吸烟的人。
hw_synset_3264	助理、协理员	名词，指协助主要负责人办事的人。
hw_synset_44079	载波相位	名词，信号传输中的相位变化。
hw_synset_42786	议席	名词，机构内的座位或代表位置。
hw_synset_3027	拐子、骗子	名词，以欺骗手段获取他人财物或利益的人
hw_synset_10113	干线	名词，主要交通路线。
hw_synset_10029	湘剧	名词，中国的一种地方戏剧表演。
hw_synset_30481	手机	名词，便携式通讯工具。
hw_synset_10587	曾孙	名词，直系后代中的男性。
hw_synset_1092	小品文、杂文	名词，短小活泼的散文形式，内容多样且灵活。
hw_synset_9168	正片	名词，主要的影片或节目。
hw_synset_13453	本职	名词，特定职位或事务的职责。
hw_synset_11440	刑侦	名词，与犯罪相关的侦查活动。
hw_synset_26231	复眼	名词，昆虫特有的多复眼结构。
hw_synset_1711	诗人、骚人、骚客	名词，创作诗歌的文学艺术工作者
hw_synset_2279	药膏、软膏、膏子	名词，用于外敷的药物，通常呈膏状或半固体状态
hw_synset_32100	敌后	名词，敌军占领的区域。
hw_synset_25782	地皮	名词，土地表面或地面。
hw_synset_2104	难处、难点	名词，遇到的难以解决的问题或障碍
hw_synset_19638	令郎	名词，你的儿子或年轻男性亲属。
hw_synset_32505	新教	名词，一种基于圣经的宗教信仰制度。
hw_synset_36836	牙垢	名词，牙齿表面的污垢和细菌积聚。
hw_synset_11690	胸像	名词，雕刻的立体人像。
hw_synset_44764	道家	名词，中国传统哲学与宗教思想体系。
hw_synset_4621	行辕、行营	名词，统帅出征时办公的营帐或机构
hw_synset_4047	树身、树干	名词，树木的主要支撑部分，通常为木质结构。
hw_synset_18078	不民主	形容词，缺乏公正和公平的政治制度。
hw_synset_3039	农场、农庄	名词，农场；庄园。
hw_synset_27763	家	名词，居住和生活的地方。
hw_synset_21980	分店	名词，商业机构的分支地点。
hw_synset_1594	苗裔、后裔、下辈、根苗、后	名词，指某人的子孙或后代，通常用于描述血缘关系。
hw_synset_2679	禅理、佛法	名词，佛教的教义和哲学思想
hw_synset_16096	受涝、遭受洪涝灾害	动词，遭遇洪水造成的损害。
hw_synset_16095	受旱、遭受旱灾	动词，经历干旱的植物。
hw_synset_2324	烽火、战火、兵火	名词，与战争相关的破坏和冲突现象
hw_synset_852	海洛因、白面儿	名词，一种有毒的麻醉药物，常导致成瘾。
hw_synset_11289	村姑	名词，乡村女性。
hw_synset_43338	败叶	名词，植物的衰败部分。
hw_synset_2303	绵羊、羊	名词，一种哺乳动物，通常有角，种类繁多，毛可用于纺织。
hw_synset_38682	神童	名词，聪明且年轻的孩子。
hw_synset_9046	尺蠖、蠖	名词，一种特定的虫，常见于植物中。
hw_synset_32378	斗鸡	名词，家养鸟类之间的竞技比赛。
hw_synset_19362	人力资源部	名词，负责管理和雇用员工的部门。
hw_synset_32817	日报	名词，每日发布的新闻刊物。
hw_synset_2546	典礼、礼、礼仪、仪式	名词，与正式程序和礼节相关的行为或活动
hw_synset_14349	长话	名词，冗长的交流内容。
hw_synset_11168	民权	名词，公民在国家中的权利与自由。
hw_synset_1197	柞木、柞栎、栎	名词，均为树木或木材的名称，具有坚硬特性。
hw_synset_10931	蜡像	名词，用蜡制作的人物模型。
hw_synset_38120	盟友	名词，支持和帮助的伙伴。
hw_synset_12388	师范	名词，培养教师的教育机构。
hw_synset_31046	抽象	形容词，不具体的概念或思想。
hw_synset_2268	粉红领、粉领	名词，指从事秘书等工作的职业女性群体
hw_synset_12922	常委	名词，长期担任官方职务的人员。
hw_synset_5366	嫁、转嫁	动词，与婚姻相关的行为或状态
hw_synset_10971	赞美诗	名词，宗教音乐中赞美的诗歌。
hw_synset_33549	朝阳	名词，北京的一个地区。
hw_synset_35587	活宝	名词，有趣且活泼的人。
hw_synset_19966	低压	名词，低于正常的压力水平。
hw_synset_47233	高压	名词，超过正常的压力。
hw_synset_46254	雌蕊	名词，植物的雌性生殖器官。
hw_synset_40300	罢教	动词，停止教学的抗议行为。
hw_synset_40305	罢课	动词，停止上课以示抗议。
hw_synset_8560	栝楼	名词，一种花草植物。
hw_synset_8809	一部分、份	名词，整体中的某个组成部分。
hw_synset_26211	复合	名词，将不同元素结合形成新事物的方法。
hw_synset_9142	鳊	名词，一种淡水鱼。
hw_synset_21646	决策层	名词，负责做出重要决策的组织部分。
hw_synset_3439	高岭土、陶土	名词，用于制造陶器和瓷器的黏土材料
hw_synset_3627	王国、版图、领地、河山、国土	名词，国家主权管辖下的区域或土地
hw_synset_11288	草木灰、草灰	名词，植物燃烧后留下的灰烬。
hw_synset_3239	柴火、劈柴、木柴、柴、樵	名词，用于燃料的树枝、草等材料的统称
hw_synset_3247	良言、好话	名词，有益的、积极的言语或表达
hw_synset_2193	快事、乐事	名词，令人愉悦和满意的事情或状态
hw_synset_45438	银楼	名词，专门出售银饰和相关商品的商店。
hw_synset_38052	盐田	名词，用于生产化学品的工业场所。
hw_synset_7184	不见得、不致、不致于	形容词，不一定会发生的情况。
hw_synset_972	发言、唇舌、言谈、讲话、词	名词，与表达思想和意见相关的语言行为或内容
hw_synset_18418	东非	名词，位于非洲东部的地区。
hw_synset_3818	道士、老道	名词，信奉道教的宗教人士
hw_synset_46702	预言	名词，对未来事件的预测或描述。
hw_synset_873	奇数、单数	名词，正的奇数，如1，3，5，7等。
hw_synset_19805	休止符	名词，音乐中的暂停符号。
hw_synset_14307	追尾	名词，车辆相撞的事故。
hw_synset_18362	东北门	名词，建筑物的东北方向入口。
hw_synset_10432	奥运村	名词，为运动员提供住宿的地方。
hw_synset_38967	积累	名词，逐渐收集和增加的物质或资源。
hw_synset_20543	假小子	名词，表现出男性特征的女性儿童。
hw_synset_10463	工会	名词，为工人权益而组织的团体。
hw_synset_24896	周薪	名词，每周支付的薪酬。
hw_synset_34093	栉鳃	名词，鱼类用来呼吸的器官。
hw_synset_36	值钱、珍稀、名贵、贵重、金贵	形容词，稀有而珍贵。
hw_synset_36397	火场	名词，发生火灾的地方。
hw_synset_3495	司铎、神甫、神父、牧师、教士	名词，基督教及其相关宗教中的神职人员，负责宗教事务。
hw_synset_41547	苍山	名词，高耸的山脉，树木繁茂的土地。
hw_synset_21666	冷场	名词，表演中气氛冷淡、无人响应的情况。
hw_synset_3654	沿路、沿途、路上、当街、街头	名词，与道路或街道相关的地点或位置
hw_synset_775	红星、星	名词，标志性形状，通常用于象征或标识。
hw_synset_13677	茶卤儿	名词，浓郁的茶饮。
hw_synset_1366	鲍鱼、鳆鱼、鳆、鲍	名词，鲍。
hw_synset_14350	零售、门市	名词，销售商品的商店或场所。
hw_synset_8485	胡椒	名词，一种辛辣的调味料。
hw_synset_46245	集运	名词，运输货物的服务。
hw_synset_31572	推论	名词，根据已知信息得出结论的过程。
hw_synset_23704	反馈	名词，对信息的回应或意见。
hw_synset_9895	云头	名词，云雾缭绕的高空。
hw_synset_4245	秕糠、糠秕	名词，比喻没有价值的东西或事物
hw_synset_10588	小山羊、小羊	名词，年轻的羊。
hw_synset_362	顺、纷纷	形容词，(言论、往下落的东西等)多而杂乱。
hw_synset_38397	石决明	名词，一种用于中药的海洋生物。
hw_synset_12961	阳关道	名词，宽阔的道路。
hw_synset_818	碘酊、碘酒	名词，用于消毒的碘和碘化钾的稀酒精溶液
hw_synset_28302	层次	名词，不同等级或类别的组织结构。
hw_synset_9932	民国	名词，中国历史上的一个时期。
hw_synset_45432	银婚	名词，结婚25周年的纪念日。
hw_synset_9593	丘	名词，小而凸起的陆地。
hw_synset_3276	骁将、猛将、枭将	名词，勇猛的军事将领，象征无畏和果敢。
hw_synset_3737	洋务、外务、外事	名词，与外国相关的事务和交涉
hw_synset_25398	国债	名词，国家发行的债务证券。
hw_synset_25113	商战	名词，商业竞争中的斗争。
hw_synset_1305	跳蚤、虼蚤	名词，小型寄生昆虫，善跳跃，吸血并传播疾病。
hw_synset_8691	始末、起讫	名词，事情的开始和结束。
hw_synset_27765	家丑	名词，家庭中的丑事或不光彩的事情。
hw_synset_1084	人民、百姓	名词，社会中普通大众，非军人和官员的成员
hw_synset_2809	玉石、玉、宝玉	名词，质地细腻、光泽温润的珍贵石材
hw_synset_13185	机器人	名词，自动执行任务的机器装置。
hw_synset_1623	吐绶鸡、火鸡	名词，一种鸟，嘴大，头部有红色肉质的突起，脚长大，羽毛有黑、白、深黄等色。
hw_synset_39787	纲	名词，生物分类中的主要层级。
hw_synset_35617	流体	名词，具有流动性的物质。
hw_synset_2188	茶砖、砖茶	名词，压紧成砖形的茶叶块，称为砖茶或茶砖。
hw_synset_37111	王	名词，最优秀的物质或人。
hw_synset_2764	条文、条款	名词，文件或契约中规定的具体内容和说明
hw_synset_8711	甘油	名词，一种用于润滑和保湿的化学物质。
hw_synset_39642	索赔条款	名词，要求补偿损害的文书条款。
hw_synset_26065	塾师	名词，过去教导学生的老师。
hw_synset_921	木犀、桂子、桂花	名词，一种具有特殊香气的小乔木或灌木的花卉
hw_synset_41388	良宵	名词，美好的夜晚。
hw_synset_2868	条件、前提	名词，影响事物发生或发展的因素或条件
hw_synset_33875	杠夫	名词，负责搬运重物的工人。
hw_synset_9425	意	名词，与欧洲相关的政治或国家的专有名词。
hw_synset_12222	大学生	名词，接受高等教育的年轻人。
hw_synset_10125	舱面、甲板	名词，船上的平坦表面。
hw_synset_3893	罪恶、罪孽、罪	名词，与作恶或犯法相关的行为或观念
hw_synset_41361	船上诊室	名词，船上的医疗设施。
hw_synset_1981	小我、个人	名词，指个体，与集体相对的概念
hw_synset_23078	单晶体	名词，由单一晶体结构组成的固体。
hw_synset_18494	个人	名词，单独的一个人。
hw_synset_22166	初夜	名词，婚后的第一次夜晚。
hw_synset_34003	枯叶	名词，植物的干枯叶片。
hw_synset_3493	车夫、司机	名词，负责驾驶交通工具的职业人员
hw_synset_1405	账、债务、亏空、窟窿、欠款	名词，指未偿还的金钱或财物的状态
hw_synset_1841	棕熊、罴	名词，体型庞大、毛色棕褐、能爬树和游泳的哺乳动物
hw_synset_45589	长安	名词，中国古代的都城。
hw_synset_13561	正宗	名词，符合传统标准的事物。
hw_synset_44155	边墙	名词，建筑物的侧面部分。
hw_synset_25519	国际歌	名词，全球工人阶级的歌曲。
hw_synset_40494	老前辈	名词，年长的前辈或资深人士。
hw_synset_36239	满堂红	名词，全面的成功与成就。
hw_synset_2553	春季、春、阳春、春上、春天	名词，一年中的第一季，通常指春季的三个月时间
hw_synset_23432	原件	名词，原始文书或文件。
hw_synset_18809	主机	名词，主要的计算机设备。
hw_synset_36442	灯苗	名词，用于照明的火具。
hw_synset_47617	鼻饲	名词，通过鼻子将食物或药物送入胃中的医疗方法。
hw_synset_26358	外需	名词，来自国外的需求。
hw_synset_32622	旁白	名词，对话或故事中的解说或说明。
hw_synset_11526	尖端科学、前沿学科	名词，先进的科学研究领域。
hw_synset_40544	老账	名词，过去的不利事情。
hw_synset_11034	滚珠轴承、滚柱轴承	名词，一种用于减少摩擦的机械部件。
hw_synset_2614	彩号、伤兵	名词，因作战受伤的人员或士兵
hw_synset_1192	马缨花、合欢	名词，一种落叶乔木，适合制作家具，花色独特。
hw_synset_8553	凌霄花	名词，一种攀爬植物，花色鲜艳。
hw_synset_14022	草头王	名词，富有且乐于助人的人。
hw_synset_46737	领导	名词，负责管理事务的人。
hw_synset_41242	臭棋	名词，下棋水平差的表现。
hw_synset_14605	染疾、染病	动词，感染疾病的状态。
hw_synset_20782	光学	名词，研究光及其性质的科学。
hw_synset_27135	妙手	名词，技艺高超的人。
hw_synset_36591	热	名词，温度升高的状态或感觉。
hw_synset_36596	热处理	名词，通过加热改变材料性质的过程。
hw_synset_12719	宿命论	名词，对命运的不可避免的信仰与理解。
hw_synset_11340	寒风、冷风	名词，刺骨的冷风。
hw_synset_28101	小动作	名词，偷偷摸摸的行为。
hw_synset_11727	韩	名词，位于亚洲的国家，政治体制为民主。
hw_synset_45217	金发	名词，黄色的头发。
hw_synset_1396	大鼓、鼓书	名词，大鼓(曲艺的一种)。
hw_synset_8756	苄	名词，一种有机化合物，常用于化学合成。
hw_synset_11810	年鉴	名词，记录每年事件和数据的出版物。
hw_synset_12697	败类	名词，有害的坏人。
hw_synset_43822	路基	名词，道路的基础部分。
hw_synset_13303	教廷	名词，天主教的管理机构。
hw_synset_1743	画作、画幅、漆工、图、油画	名词，通过绘画表现的艺术形象或作品
hw_synset_37524	田鸡腿	名词，一种可食用的青蛙腿。
hw_synset_9423	南	名词，位于欧洲的南方地区。
hw_synset_17	详实、翔实	形容词，详细而确实。
hw_synset_2257	书局、书社	名词，旧时印书的机构，后多用于出版社的名称，
hw_synset_26062	填鸭	名词，一种通过强制喂养使其肥胖的家禽。
hw_synset_37940	白色素细胞	名词，一种鱼类的生理部件，涉及白色素细胞。
hw_synset_40197	缸管	名词，用于传输液体的线性材料。
hw_synset_42185	行院	名词，提供性娱乐服务的场所。
hw_synset_22867	北非	名词，非洲北部地区。
hw_synset_26833	头球	名词，用头部击球的动作。
hw_synset_20537	假	名词，不真实或不正确的状态。
hw_synset_9849	槅、槅门	名词，一种建筑物的门。
hw_synset_1685	桃子、桃	名词，桃树及其果实，味甜，常见水果。
hw_synset_4605	茶场、茶园	名词，培育茶树和采摘、加工茶叶的地方。
hw_synset_39890	细高挑儿	名词，身材瘦高的人。
hw_synset_42673	警嫂	名词，警察的妻子。
hw_synset_19745	任期	名词，在职期间的时间长度。
hw_synset_34177	核裁军	名词，减少军队核武器的数量。
hw_synset_6933	威武、强、强有力	形容词，具有强大力量或影响力的状态。
hw_synset_26443	夜猫子	名词，喜欢夜间活动的人。
hw_synset_26667	大雪	名词，大量降雪的天气现象。
hw_synset_12565	巫	名词，施行欺骗和罪恶行为的人。
hw_synset_30897	折叠门	名词，可折叠的建筑门。
hw_synset_966	岩石、石头、砬子、磐石、石	名词，(盘石)厚而大的石头。
hw_synset_10792	善后、余波	名词，后续影响或处理的事情。
hw_synset_34543	正数	名词，大于零的数。
hw_synset_19439	人类基因组	名词，人类的全部遗传信息。
hw_synset_2615	刀口、创面、伤口、创口	名词，皮肤或组织受伤后形成的破裂或开口
hw_synset_23167	南洋	名词，位于南亚的地区。
hw_synset_8959	力学	名词，研究物体运动和力的科学。
hw_synset_3615	归程、返程	名词，返回的旅程或路途
hw_synset_10170	乌	名词，非洲的一个国家，位于东部。
hw_synset_12111	喙、觜、鸟嘴	名词，鸟类的嘴部结构。
hw_synset_12686	幸臣	名词，对过去的皇室官员的珍视与尊重。
hw_synset_13924	碴儿、碴	名词，碎屑或小颗粒。
hw_synset_3457	古诗、古体诗	名词，指古代的诗歌形式，风格和结构较为自由。
hw_synset_25670	在尾部	名词，位于后方的部分。
hw_synset_1511	汽水、软饮料	名词，不含酒精的清凉饮品，通常含有气泡和糖分
hw_synset_4513	话匣子、碎嘴子	名词，形容话多且爱说的人。
hw_synset_20504	倩影	名词，美丽的身影。
hw_synset_37211	玻璃假眼	名词，人造眼睛的医疗部件。
hw_synset_20541	假名	名词，日本的符号或名称。
hw_synset_1813	副刊、增刊	名词，报刊中增加的特定内容或专栏
hw_synset_16426	续娶、续弦	动词，再婚或再嫁。
hw_synset_37181	现代戏	名词，当代的表演艺术形式。
hw_synset_18831	主诉	名词，患者表达的主要症状或不适。
hw_synset_32935	旺季	名词，商业活动繁忙的季节。
hw_synset_204	宽大、宽	形容词，对人或事物不严格、不苛求的态度
hw_synset_12115	喜宴	名词，庆祝婚礼的宴席。
hw_synset_39958	经线	名词，用于测量和表示地球表面位置的线。
hw_synset_42258	表象	名词，表面现象或外在表现。
hw_synset_26442	夜游神	名词，夜间活动的人。
hw_synset_11182	铁索桥	名词，用铁链或钢索支撑的桥。
hw_synset_35226	沙皇	名词，俄罗斯的皇室统治者。
hw_synset_11560	襄理	名词，管理经济事务的官员。
hw_synset_13903	胡碴子、胡子茬、胡茬子	名词，刚长出的短须。
hw_synset_1472	环路、匝道	名词，连接不同道路的交通设施或路线
hw_synset_13019	行人	名词，步行的人员。
hw_synset_47357	魔芋	名词，一种可食用的植物。
hw_synset_14000	纱线、纱、细线	名词，用于编织或缝纫的细长材料。
hw_synset_21467	军令状	名词，军队中的书面保证。
hw_synset_28466	工休	名词，工作期间的休息时间。
hw_synset_45333	钢板	名词，金属制成的平面材料。
hw_synset_36088	渔政	名词，管理渔业事务的机构或部门。
hw_synset_38754	禁药	名词，被禁止使用的药物。
hw_synset_22204	利器	名词，高质量的工具或器具。
hw_synset_13063	歪才	名词，有独特才能或智慧的人。
hw_synset_4481	疯话、胡话	名词，不合常理或神志不清的言语表达
hw_synset_2927	蒙药、麻药、蒙汗药、麻醉药	名词，引起麻醉现象的药物或剂型
hw_synset_10133	主考	名词，负责监督考试的人。
hw_synset_10398	廊、庑	名词，建筑物的延伸部分。
hw_synset_39301	笔友	名词，通过书信交流的朋友。
hw_synset_25597	土层	名词，地表下的土壤层。
hw_synset_34078	标准语	名词，符合规范的语言。
hw_synset_2810	珠玑、宝石、琳琅、真珠、金刚石	名词，珍贵、美丽且具有光泽的矿物或颗粒，常用于装饰。
hw_synset_11605	社团	名词，组织或团体的集合。
hw_synset_25908	垒球	名词，一种软球类的团队运动。
hw_synset_39830	线人	名词，为警方提供情报的人。
